a 2
a 3
a 4
a 5
a 6
a 7
b 2
b 3
b 4
b 5
b 6
b 7
c 2
c 3
c 4
c 5
c 6
c 7
d 2
d 3
d 4
d 5
d 6
d 7
e 2
e 3
e 4
e 5
e 6
e 7
f 2
f 3
f 4
f 5
f 6
f 7
g 2
g 3
g 4
g 5
g 6
g 7
h 2
h 3
h 4
queen 2 b 3
queen 2 b 4
queen 2 b 5
queen 2 b 6
queen 2 b 7
queen 2 b 8
queen 2 c 1
queen 2 c 2
queen 2 c 3
queen 2 c 4
queen 2 c 5
queen 2 c 6
queen 2 c 7
queen 2 c 8
queen 2 d 1
queen 2 d 2
queen 2 d 3
queen 2 d 4
queen 2 d 5
queen 2 d 6
queen 2 d 7
queen 2 d 8
queen 2 e 1
queen 2 e 2
queen 2 e 3
queen 2 e 4
queen 2 e 5
queen 2 e 6
queen 2 e 7
queen 2 e 8
queen 2 f 1
queen 2 f 2
queen 2 f 3
queen 2 f 4
queen 2 f 5
queen 2 f 6
queen 2 f 7
queen 2 f 8
queen 2 g 1
queen 2 g 2
queen 2 g 3
queen 2 g 4
queen 2 g 5
queen 2 g 6
queen 2 g 7
queen 2 g 8
queen 2 h 1
queen 2 h 2
queen 2 h 3
queen 2 h 4
queen 2 h 5
queen 2 h 6
queen 2 h 7
queen 2 h 8
queen 3 a 1
queen 3 a 2
queen 3 a 3
queen 3 a 4
queen 3 a 5
queen 3 a 6
queen 3 a 7
queen 3 a 8
queen 3 b 1
queen 3 b 2
queen 3 b 3
queen 3 b 4
queen 3 b 5
queen 3 b 6
queen 3 b 7
queen 3 b 8
queen 3 c 1
queen 3 c 2
queen 3 c 3
queen 3 c 4
queen 3 c 5
queen 3 c 6
queen 3 c 7
queen 3 c 8
queen 3 d 1
queen 3 d 2
queen 3 d 3
queen 3 d 4
queen 3 d 5
queen 3 d 6
queen 3 d 7
queen 3 d 8
queen 3 e 1
queen 3 e 2
queen 3 e 3
queen 3 e 4
queen 3 e 5
queen 3 e 6
queen 3 e 7
queen 3 e 8
queen 3 f 1
queen 3 f 2
queen 3 f 3
queen 3 f 4
queen 3 f 5
queen 3 f 6
queen 3 f 7
queen 3 f 8
queen 3 g 1
queen 3 g 2
queen 3 g 3
queen 3 g 4
queen 3 g 5
queen 3 g 6
queen 3 g 7
queen 3 g 8
queen 3 h 1
queen 3 h 2
queen 3 h 3
queen 3 h 4
queen 3 h 5
queen 3 h 6
queen 3 h 7
queen 3 h 8
queen 4 a 1
queen 4 a 2
queen 4 a 3
queen 4 a 4
queen 4 a 5
queen 4 a 6
queen 4 a 7
queen 4 a 8
queen 4 b 1
queen 4 b 2
queen 4 b 3
queen 4 b 4
queen 4 b 5
queen 4 b 6
queen 4 b 7
queen 4 b 8
queen 4 c 1
queen 4 c 2
queen 4 c 3
queen 4 c 4
queen 4 c 5
queen 4 c 6
queen 4 c 7
queen 4 c 8
queen 4 d 1
queen 4 d 2
queen 4 d 3
queen 4 d 4
queen 4 d 5
queen 4 d 6
queen 4 d 7
queen 4 d 8
queen 4 e 1
queen 4 e 2
queen 4 e 3
queen 4 e 4
queen 4 e 5
queen 4 e 6
queen 4 e 7
queen 4 e 8
queen 4 f 1
queen 4 f 2
queen 4 f 3
queen 4 f 4
queen 4 f 5
queen 4 f 6
queen 4 f 7
queen 4 f 8
queen 4 g 1
queen 4 g 2
queen 4 g 3
queen 4 g 4
queen 4 g 5
queen 4 g 6
queen 4 g 7
queen 4 g 8
queen 4 h 1
queen 4 h 2
queen 4 h 3
queen 4 h 4
queen 4 h 5
queen 4 h 6
queen 4 h 7
queen 4 h 8
queen 5 a 1
queen 5 a 2
queen 5 a 3
queen 5 a 4
queen 5 a 5
queen 5 a 6
queen 5 a 7
queen 5 a 8
queen 5 b 1
queen 5 b 2
queen 5 b 3
queen 5 b 4
queen 5 b 5
queen 5 b 6
queen 5 b 7
queen 5 b 8
queen 5 c 1
queen 5 c 2
queen 5 c 3
queen 5 c 4
queen 5 c 5
queen 5 c 6
queen 5 c 7
queen 5 c 8
queen 5 d 1
queen 5 d 2
queen 5 d 3
queen 5 d 4
queen 5 d 5
queen 5 d 6
queen 5 d 7
queen 5 d 8
queen 5 e 1
queen 5 e 2
queen 5 e 3
queen 5 e 4
